ti,repo,measurement_type,data_type,cadence,status,exp,sum,jobs,%Failure
20-AUG-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3044,-43,43,1.00
20-AUG-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3184,-45,45,1.00
20-AUG-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3186,-45,45,1.00
20-AUG-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3399,-48,48,1.00
20-AUG-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3186,-45,45,1.00
20-AUG-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3187,-45,45,1.00
20-AUG-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3328,-47,47,1.00
20-AUG-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2973,-42,42,1.00
20-NOV-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
20-NOV-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
20-NOV-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
20-NOV-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
20-NOV-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
20-NOV-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
20-NOV-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
20-NOV-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
20-NOV-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
20-NOV-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
20-NOV-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
20-NOV-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
21-AUG-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2901,-41,41,1.00
21-AUG-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3114,-44,44,1.00
21-AUG-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3183,-45,45,1.00
21-AUG-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3323,-47,47,1.00
21-AUG-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3328,-47,47,1.00
21-AUG-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3183,-45,45,1.00
21-AUG-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3469,-49,49,1.00
21-AUG-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3330,-47,47,1.00
21-AUG-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3540,-50,50,1.00
21-AUG-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3401,-48,48,1.00
21-AUG-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3613,-51,51,1.00
21-AUG-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3330,-47,47,1.00
21-AUG-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2900,-41,41,1.00
21-AUG-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3255,-46,46,1.00
21-AUG-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3470,-49,49,1.00
21-AUG-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3111,-44,44,1.00
21-AUG-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3398,-48,48,1.00
21-AUG-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3186,-45,45,1.00
21-AUG-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2826,-40,40,1.00
21-AUG-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2689,-38,38,1.00
21-AUG-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3185,-45,45,1.00
21-AUG-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3257,-46,46,1.00
21-AUG-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3468,-49,49,1.00
21-AUG-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3043,-43,43,1.00
21-NOV-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
21-NOV-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
21-NOV-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
21-NOV-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
21-NOV-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
21-NOV-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
21-NOV-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
21-NOV-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
21-NOV-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,706,-10,10,1.00
22-AUG-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,4030,-57,57,1.00
22-AUG-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3467,-49,49,1.00
22-AUG-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3253,-46,46,1.00
22-AUG-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3682,-52,52,1.00
22-AUG-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3395,-48,48,1.00
22-AUG-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3469,-49,49,1.00
22-AUG-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3185,-45,45,1.00
22-AUG-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3541,-50,50,1.00
22-AUG-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3257,-46,46,1.00
22-AUG-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2547,-36,36,1.00
22-AUG-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3469,-49,49,1.00
22-AUG-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3822,-54,54,1.00
22-AUG-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3258,-46,46,1.00
22-AUG-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3327,-47,47,1.00
22-AUG-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3396,-48,48,1.00
22-AUG-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3751,-53,53,1.00
22-AUG-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3609,-51,51,1.00
22-AUG-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3469,-49,49,1.00
22-AUG-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3042,-43,43,1.00
22-AUG-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3113,-44,44,1.00
22-AUG-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2759,-39,39,1.00
22-AUG-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3327,-47,47,1.00
22-AUG-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3256,-46,46,1.00
22-AUG-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2760,-39,39,1.00
22-NOV-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
22-NOV-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
22-NOV-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
22-NOV-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
22-NOV-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
22-NOV-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
22-NOV-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
22-NOV-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
22-NOV-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,710,-10,10,1.00
22-NOV-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
22-NOV-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
22-NOV-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
22-NOV-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
22-NOV-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
22-NOV-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
22-NOV-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,710,-10,10,1.00
22-NOV-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
22-NOV-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
22-NOV-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
22-NOV-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
22-NOV-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
22-NOV-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
22-NOV-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
22-NOV-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
23-AUG-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3681,-52,52,1.00
23-AUG-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3187,-45,45,1.00
23-AUG-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3611,-51,51,1.00
23-AUG-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3254,-46,46,1.00
23-AUG-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3466,-49,49,1.00
23-AUG-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3539,-50,50,1.00
23-AUG-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3182,-45,45,1.00
23-AUG-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3327,-47,47,1.00
23-AUG-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3187,-45,45,1.00
23-AUG-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3536,-50,50,1.00
23-AUG-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3328,-47,47,1.00
23-AUG-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2763,-39,39,1.00
23-AUG-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3537,-50,50,1.00
23-AUG-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3188,-45,45,1.00
23-AUG-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3330,-47,47,1.00
23-AUG-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3113,-44,44,1.00
23-AUG-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3539,-50,50,1.00
23-AUG-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3397,-48,48,1.00
23-AUG-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2688,-38,38,1.00
23-AUG-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3397,-48,48,1.00
23-AUG-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3398,-48,48,1.00
23-AUG-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3611,-51,51,1.00
23-AUG-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3112,-44,44,1.00
23-AUG-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3043,-43,43,1.00
23-NOV-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
23-NOV-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
23-NOV-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
23-NOV-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
23-NOV-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
23-NOV-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
23-NOV-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,705,-10,10,1.00
23-NOV-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
23-NOV-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
23-NOV-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
23-NOV-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,710,-10,10,1.00
23-NOV-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,706,-10,10,1.00
23-NOV-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-NOV-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
23-SEP-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,70,-1,1,1.00
23-SEP-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,70,-1,1,1.00
24-AUG-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3325,-47,47,1.00
24-AUG-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3116,-44,44,1.00
24-AUG-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3469,-49,49,1.00
24-AUG-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3045,-43,43,1.00
24-AUG-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3187,-45,45,1.00
24-AUG-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3116,-44,44,1.00
24-AUG-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3609,-51,51,1.00
24-AUG-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3184,-45,45,1.00
24-AUG-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3401,-48,48,1.00
24-AUG-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3256,-46,46,1.00
24-AUG-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3539,-50,50,1.00
24-AUG-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3607,-51,51,1.00
24-AUG-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3610,-51,51,1.00
24-AUG-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3401,-48,48,1.00
24-AUG-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2903,-41,41,1.00
24-AUG-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2901,-41,41,1.00
24-AUG-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3042,-43,43,1.00
24-AUG-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3183,-45,45,1.00
24-AUG-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3255,-46,46,1.00
24-AUG-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3465,-49,49,1.00
24-AUG-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3328,-47,47,1.00
24-AUG-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2830,-40,40,1.00
24-AUG-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3399,-48,48,1.00
24-AUG-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3535,-50,50,1.00
24-NOV-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
24-NOV-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,706,-10,10,1.00
24-NOV-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,710,-10,10,1.00
24-NOV-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,710,-10,10,1.00
24-NOV-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,546,-10,10,1.00
24-NOV-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,517,-10,10,1.00
24-NOV-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,518,-10,10,1.00
24-NOV-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,528,-10,10,1.00
24-NOV-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,627,-10,10,1.00
24-NOV-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
24-NOV-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,705,-10,10,1.00
24-NOV-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
24-NOV-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
24-NOV-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
24-NOV-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,710,-10,10,1.00
24-NOV-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,710,-10,10,1.00
24-NOV-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
24-NOV-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
24-NOV-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
24-NOV-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
24-NOV-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
24-NOV-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
24-NOV-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
24-NOV-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-AUG-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3399,-48,48,1.00
25-AUG-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3608,-51,51,1.00
25-AUG-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3541,-50,50,1.00
25-AUG-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2690,-38,38,1.00
25-AUG-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2973,-42,42,1.00
25-AUG-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3324,-47,47,1.00
25-AUG-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3470,-49,49,1.00
25-AUG-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2973,-42,42,1.00
25-AUG-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3257,-46,46,1.00
25-AUG-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3045,-43,43,1.00
25-AUG-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3613,-51,51,1.00
25-AUG-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2831,-40,40,1.00
25-AUG-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3396,-48,48,1.00
25-AUG-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3112,-44,44,1.00
25-AUG-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3043,-43,43,1.00
25-AUG-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3253,-46,46,1.00
25-AUG-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2762,-39,39,1.00
25-AUG-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2764,-39,39,1.00
25-AUG-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3537,-50,50,1.00
25-AUG-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,2976,-42,42,1.00
25-AUG-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3115,-44,44,1.00
25-AUG-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3044,-43,43,1.00
25-AUG-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3543,-50,50,1.00
25-AUG-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3118,-44,44,1.00
25-NOV-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-NOV-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-NOV-2022 02,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-NOV-2022 03,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 04,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 05,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 06,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-NOV-2022 07,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 08,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 09,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 10,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-NOV-2022 11,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 12,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 13,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 14,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-NOV-2022 15,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
25-NOV-2022 16,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-NOV-2022 17,GitLabs,Ene-Par,goe-ele,0:05:00,Error,707,-10,10,1.00
25-NOV-2022 18,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 19,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 20,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-NOV-2022 21,GitLabs,Ene-Par,goe-ele,0:05:00,Error,708,-10,10,1.00
25-NOV-2022 22,GitLabs,Ene-Par,goe-ele,0:05:00,Error,709,-10,10,1.00
25-NOV-2022 23,GitLabs,Ene-Par,goe-ele,0:05:00,Error,710,-10,10,1.00
26-AUG-2022 00,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3328,-47,47,1.00
26-AUG-2022 01,GitLabs,Ene-Par,goe-ele,0:05:00,Error,3044,-43,43,1.00
